Dc_Dist,Psa,Dispatch_Date_Time,Dispatch_Date,Dispatch_Time,Hour,Dc_Key,Location_Block,UCR_General,Text_General_Code,Police_Districts,Month,Lon,Lat,Zipcode
18,3,11/22/2015 13:31,11/22/2015,13:31:00,13,2.02E+11,4800 BLOCK MARKET ST,300,Robbery,14,2015-11,-75.217184,39.959005,19139
14,1,6/18/2015 12:29,6/18/2015,12:29:00,12,2.02E+11,6600 BLOCK BLAKEMORE ST,700,Recovered Stolen Motor Vehicle,10,2015-06,-75.177434,40.059151,19119
2,2,9/21/2015 19:44,9/21/2015,19:44:00,19,2.02E+11,6600 BLOCK TABOR AV,600,Thefts,2,2015-09,-75.088905,40.050725,19111
18,2,11/25/2015 13:40,11/25/2015,13:40:00,13,2.02E+11,S 56TH ST / SPRUCE ST,2400,Disorderly Conduct,14,2015-11,-75.233987,39.955589,19139
17,3,8/12/2015 19:34,8/12/2015,19:34:00,19,2.02E+11,1600 BLOCK S CHADWICK ST,1800,Narcotic / Drug Law Violations,13,2015-08,-75.172695,39.931003,19145
26,2,11/17/2015 10:05,11/17/2015,10:05:00,10,2.02E+11,1100 BLOCK N AMERICAN ST,700,Recovered Stolen Motor Vehicle,19,2015-11,-75.140842,39.967638,19123
35,1,10/2/2015 7:36,10/2/2015,7:36:00,7,2.02E+11,1100 BLOCK W NEDRO AVE,1400,Vandalism/Criminal Mischief,20,2015-10,-75.138569,40.042194,19141
35,3,5/30/2015 11:13,5/30/2015,11:13:00,11,2.02E+11,2000 BLOCK W 65TH AV,1400,Vandalism/Criminal Mischief,20,2015-05,-75.154532,40.053135,19138
19,3,3/21/2015 15:17,3/21/2015,15:17:00,15,2.02E+11,3900 BLOCK CONSHOHOCKEN AVE,700,Recovered Stolen Motor Vehicle,15,2015-03,-75.207823,40.002747,19131
18,3,12/3/2015 21:36,12/3/2015,21:36:00,21,2.02E+11,S 49TH ST / WARRINGTON AVE,300,Robbery,9,2015-12,-75.219113,39.946363,19143
5,1,5/30/2015 23:52,5/30/2015,23:52:00,23,2.02E+11,RIDGE AV / GERHARD ST,2400,Disorderly Conduct,4,2015-05,-75.212312,40.030889,19128
9,1,12/3/2015 16:15,12/3/2015,16:15:00,16,2.02E+11,1800 BLOCK PINE ST,700,Recovered Stolen Motor Vehicle,8,2015-12,-75.171704,39.946431,19103
24,1,10/13/2015 10:30,10/13/2015,10:30:00,10,2.02E+11,1800 BLOCK E PIKE ST,1600,Prostitution and Commercialized Vice,17,2015-10,-75.096881,40.005517,19124
25,1,3/29/2015 15:54,3/29/2015,15:54:00,15,2.02E+11,3800 BLOCK N MARSHALL ST,1400,Vandalism/Criminal Mischief,18,2015-03,-75.139262,40.009839,19140
15,1,2/11/2015 18:03,2/11/2015,18:03:00,18,2.02E+11,4600 BLOCK TACONY ST,600,Thefts,11,2015-02,-75.07785,40.007508,19137
24,1,2/4/2015 2:59,2/4/2015,2:59:00,2,2.02E+11,3900 BLOCK JASPER ST,1600,Prostitution and Commercialized Vice,17,2015-02,-75.094304,40.004996,19124
35,1,6/25/2015 18:44,6/25/2015,18:44:00,18,2.02E+11,5700 BLOCK N 07TH ST,700,Thefts,20,2015-06,-75.1338,40.038741,19120
3,3,3/7/2015 19:14,3/7/2015,19:14:00,19,2.02E+11,1100 BLOCK WINTON ST,600,Thefts,3,2015-03,-75.164685,39.922888,19148
39,3,3/25/2015 19:37,3/25/2015,19:37:00,19,2.02E+11,2700 BLOCK N BROAD ST,1100,Fraud,21,2015-03,-75.154546,39.994421,19132
14,3,8/7/2015 15:46,8/7/2015,15:46:00,15,2.02E+11,600 BLOCK WESTVIEW AV,600,Thefts,10,2015-08,-75.196053,40.044703,19119
24,2,8/21/2015 13:33,8/21/2015,13:33:00,13,2.02E+11,700 BLOCK E INDIANA AVE,700,Recovered Stolen Motor Vehicle,18,2015-08,-75.142852,39.997093,19133
19,3,2/25/2015 1:11,2/25/2015,1:11:00,1,2.02E+11,5300 BLOCK LANCASTER AVE,2100,Driving Under The Influence,15,2015-02,-75.227254,39.977396,19131
24,1,5/22/2015 10:21,5/22/2015,10:21:00,10,2.02E+11,3900 BLOCK DUNGAN ST,700,Recovered Stolen Motor Vehicle,17,2015-05,-75.102393,40.006346,19124
24,1,8/11/2015 18:12,8/11/2015,18:12:00,18,2.02E+11,800 BLOCK E THAYER ST,1800,Narcotic / Drug Law Violations,17,2015-08,-75.114847,39.999261,19134
7,3,11/24/2015 4:25,11/24/2015,4:25:00,4,2.02E+11,10800 BLOCK BUSTLETON AVE,500,Burglary,6,2015-11,-75.024489,40.110856,19116
24,2,2/20/2015 19:46,2/20/2015,19:46:00,19,2.02E+11,2900 BLOCK GRANSBACK ST,1800,Narcotic / Drug Law Violations,17,2015-02,-75.121813,39.992931,19134
15,1,5/4/2015 20:25,5/4/2015,20:25:00,20,2.02E+11,4400 BLOCK E ALLEN ST,1400,Vandalism/Criminal Mischief,11,2015-05,-75.070703,39.997716,19137
39,3,10/9/2015 8:47,10/9/2015,8:47:00,8,2.02E+11,2700 BLOCK N BROAD ST,1100,Fraud,21,2015-10,-75.154546,39.994421,19132
24,2,10/10/2015 16:47,10/10/2015,16:47:00,16,2.02E+11,2900 BLOCK GRANSBACK ST,1800,Narcotic / Drug Law Violations,17,2015-10,-75.121813,39.992931,19134
15,3,10/19/2015 18:24,10/19/2015,18:24:00,18,2.02E+11,7200 BLOCK JACKSON ST,1800,Narcotic / Drug Law Violations,11,2015-10,-75.038491,40.031498,19135
15,1,6/29/2015 2:52,6/29/2015,2:52:00,2,2.02E+11,1300 BLOCK FOULKROD ST,1400,Vandalism/Criminal Mischief,11,2015-06,-75.085179,40.019345,19124
9,1,12/19/2015 13:28,12/19/2015,13:28:00,13,2.02E+11,1900 BLOCK CHESTNUT ST,600,Thefts,8,2015-12,-75.172497,39.951895,19103
25,4,6/4/2015 20:29,6/4/2015,20:29:00,20,2.02E+11,3100 BLOCK N 09TH ST,300,Robbery,18,2015-06,-75.144814,39.998974,19133
9,3,9/10/2015 12:43,9/10/2015,12:43:00,12,2.02E+11,1500 BLOCK OGDEN ST,700,Thefts,8,2015-09,-75.162446,39.969972,19130
17,3,12/13/2015 21:27,12/13/2015,21:27:00,21,2.02E+11,1500 BLOCK S 16TH ST,300,Robbery,13,2015-12,-75.171488,39.931803,19146
19,2,4/30/2015 1:36,4/30/2015,1:36:00,1,2.02E+11,1300 BLOCK N 53RD ST,1400,Vandalism/Criminal Mischief,15,2015-04,-75.227705,39.974081,19131
35,3,10/21/2015 14:50,10/21/2015,14:50:00,14,2.02E+11,5600 BLOCK N BROAD ST,1100,Fraud,20,2015-10,-75.144801,40.039112,19141
5,2,5/28/2015 18:46,5/28/2015,18:46:00,18,2.02E+11,4800 BLOCK UMBRIA ST,600,Thefts,4,2015-05,-75.232562,40.032453,19127
7,2,9/15/2015 21:29,9/15/2015,21:29:00,21,2.02E+11,8700 BLOCK VERREE RD,2100,Driving Under The Influence,6,2015-09,-75.055635,40.090849,19115
3,1,12/24/2015 12:48,12/24/2015,12:48:00,12,2.02E+11,1200 BLOCK CHRISTIAN ST,1400,Vandalism/Criminal Mischief,3,2015-12,-75.163828,39.939687,19147
15,3,12/11/2015 6:05,12/11/2015,6:05:00,6,2.02E+11,3300 BLOCK DECATUR ST,1400,Vandalism/Criminal Mischief,11,2015-12,-75.032175,40.044764,19136
25,4,9/26/2015 19:23,9/26/2015,19:23:00,19,2.02E+11,2800 BLOCK N 09TH ST,1400,Vandalism/Criminal Mischief,18,2015-09,-75.145501,39.995345,19133
17,2,12/2/2015 21:16,12/2/2015,21:16:00,21,2.02E+11,3300 BLOCK GRAYS FERRY AVE,600,Thefts,13,2015-12,-75.197667,39.9395,19146
16,1,8/23/2015 2:38,8/23/2015,2:38:00,2,2.02E+11,3300 BLOCK FAIRMOUNT AVE,400,Aggravated Assault,12,2015-08,-75.190633,39.966459,19104
14,1,3/15/2015 17:40,3/15/2015,17:40:00,17,2.02E+11,1200 BLOCK E PRICE ST,600,Thefts,10,2015-03,-75.15977,40.052211,19138
8,1,7/30/2015 0:37,7/30/2015,0:37:00,0,2.02E+11,8300 BLOCK TORRESDALE AVE 1,1400,Vandalism/Criminal Mischief,7,2015-07,-75.015581,40.040302,19136
39,2,7/25/2015 12:01,7/25/2015,12:01:00,12,2.02E+11,1500 BLOCK W ERIE AV,1800,Narcotic / Drug Law Violations,21,2015-07,-75.153211,40.009458,19140
12,4,3/6/2015 11:45,3/6/2015,11:45:00,11,2.02E+11,1100 BLOCK S 52ND ST,1400,Vandalism/Criminal Mischief,9,2015-03,-75.221738,39.94301,19143
12,3,12/23/2015 9:55,12/23/2015,9:55:00,9,2.02E+11,5400 BLOCK GIBSON DR,1400,Vandalism/Criminal Mischief,9,2015-12,-75.21569,39.93257,19143
19,2,7/14/2015 8:39,7/14/2015,8:39:00,8,2.02E+11,1400 BLOCK N HIRST ST,1400,Vandalism/Criminal Mischief,15,2015-07,-75.243622,39.972838,19151
8,1,9/8/2015 9:16,9/8/2015,9:16:00,9,2.02E+11,8700 BLOCK STATE RD,600,Thefts,7,2015-09,-75.004574,40.040335,19136
26,2,9/19/2015 3:10,9/19/2015,3:10:00,3,2.02E+11,100 BLOCK W GIRARD AVE,2100,Driving Under The Influence,19,2015-09,-75.136255,39.968845,19123
22,1,6/25/2015 8:36,6/25/2015,8:36:00,8,2.02E+11,N 12TH ST / W CUMBERLAND ST,1400,Vandalism/Criminal Mischief,16,2015-06,-75.151493,39.990382,19133
16,2,9/10/2015 23:15,9/10/2015,23:15:00,23,2.02E+11,700 BLOCK N PRESTON ST,500,Burglary,12,2015-09,-75.203804,39.96508,19104
2,2,10/5/2015 0:08,10/5/2015,0:08:00,0,2.02E+11,6200 BLOCK HASBROOK AVE,2100,Driving Under The Influence,2,2015-10,-75.101351,40.0496,19111
14,1,11/30/2015 10:42,11/30/2015,10:42:00,10,2.02E+11,BRUSH RD / E PRICE ST,300,Robbery,10,2015-11,-75.159247,40.052782,19138
7,3,3/12/2015 11:10,3/12/2015,11:10:00,11,2.02E+11,10700 BLOCK HEATHER ST,600,Thefts,6,2015-03,-75.028416,40.114027,19116
22,4,4/29/2015 16:07,4/29/2015,16:07:00,16,2.02E+11,1400 BLOCK N 32ND ST,700,Recovered Stolen Motor Vehicle,16,2015-04,-75.187375,39.979065,19121
25,1,8/20/2015 5:35,8/20/2015,5:35:00,5,2.02E+11,900 BLOCK W PIKE ST,600,Thefts,18,2015-08,-75.14214,40.011207,19140
24,2,9/22/2015 15:42,9/22/2015,15:42:00,15,2.02E+11,2800 BLOCK KENSINGTON AVE,300,Robbery,17,2015-09,-75.122562,39.99148,19134
24,3,5/15/2015 9:58,5/15/2015,9:58:00,9,2.02E+11,3200 BLOCK ARAMINGO AVE,700,Recovered Stolen Motor Vehicle,17,2015-05,-75.106328,39.988533,19134
3,1,4/20/2015 19:46,4/20/2015,19:46:00,19,2.02E+11,S 11TH ST / SOUTH ST,600,Thefts,3,2015-04,-75.160207,39.943006,19147
25,3,7/20/2015 9:12,7/20/2015,9:12:00,9,2.02E+11,100 BLOCK W LEHIGH AVE,600,Thefts,18,2015-07,-75.133498,39.991272,19133
12,4,11/13/2015 19:52,11/13/2015,19:52:00,19,2.02E+11,5600 BLOCK HADFIELD ST,1400,Vandalism/Criminal Mischief,9,2015-11,-75.232637,39.941827,19143
15,1,12/9/2015 11:25,12/9/2015,11:25:00,11,2.02E+11,4500 BLOCK OAKLAND ST,700,Thefts,11,2015-12,-75.090853,40.016736,19124
39,2,3/30/2015 7:18,3/30/2015,7:18:00,7,2.02E+11,1900 BLOCK DENNIE ST 3B,500,Burglary,21,2015-03,-75.158488,40.019789,19140
18,1,1/1/2015 12:58,1/1/2015,12:58:00,12,2.02E+11,6100 BLOCK WALNUT ST,700,Recovered Stolen Motor Vehicle,14,2015-01,-75.243441,39.959142,19139
26,2,10/2/2015 17:04,10/2/2015,17:04:00,17,2.02E+11,1200 BLOCK N FRONT ST,400,Aggravated Assault,19,2015-10,-75.136264,39.968936,19123
2,2,6/24/2015 5:41,6/24/2015,5:41:00,5,2.02E+11,6700 BLOCK MARTINS MILL RD,1400,Vandalism/Criminal Mischief,2,2015-06,-75.092197,40.053214,19111
22,1,5/17/2015 16:19,5/17/2015,16:19:00,16,2.02E+11,2100 BLOCK N BROAD ST,600,Thefts,16,2015-05,-75.156234,39.986238,19122
15,2,11/29/2015 16:16,11/29/2015,16:16:00,16,2.02E+11,6700 BLOCK DITMAN ST,700,Recovered Stolen Motor Vehicle,11,2015-11,-75.046367,40.025831,19135
14,1,10/17/2015 23:51,10/17/2015,23:51:00,23,2.02E+11,7500 BLOCK RUGBY ST,600,Thefts,10,2015-10,-75.162462,40.066339,19150
16,2,4/17/2015 2:35,4/17/2015,2:35:00,2,2.02E+11,4900 BLOCK WESTMINSTER AV,1400,Vandalism/Criminal Mischief,12,2015-04,-75.219794,39.968653,19139
35,2,5/25/2015 0:55,5/25/2015,0:55:00,0,2.02E+11,400 BLOCK GENEVA AVE,300,Robbery,20,2015-05,-75.117269,40.031578,19120
25,3,12/8/2015 13:58,12/8/2015,13:58:00,13,2.02E+11,2700 BLOCK N PHILIP ST,1400,Vandalism/Criminal Mischief,18,2015-12,-75.135203,39.992449,19133
39,1,3/20/2015 21:37,3/20/2015,21:37:00,21,2.02E+11,2600 BLOCK DEACON ST,700,Recovered Stolen Motor Vehicle,21,2015-03,-75.17013,40.015664,19129
39,1,12/8/2015 10:15,12/8/2015,10:15:00,10,2.02E+11,300 BLOCK W LOGAN ST,600,Thefts,21,2015-12,-75.167642,40.023004,19144
7,3,10/3/2015 10:29,10/3/2015,10:29:00,10,2.02E+11,9900 BLOCK BUSTLETON AVE,400,Aggravated Assault,6,2015-10,-75.025878,40.113625,19116
19,2,12/12/2015 7:42,12/12/2015,7:42:00,7,2.02E+11,5400 BLOCK ARCH ST,700,Recovered Stolen Motor Vehicle,15,2015-12,-75.228348,39.962004,19139
2,1,2/28/2015 1:36,2/28/2015,1:36:00,1,2.02E+11,6000 BLOCK BELDEN ST,1400,Vandalism/Criminal Mischief,2,2015-02,-75.08378,40.036336,19149
17,3,12/29/2015 19:33,12/29/2015,19:33:00,19,2.02E+11,1500 BLOCK DORRANCE ST,1800,Narcotic / Drug Law Violations,13,2015-12,-75.17558,39.932626,19146
19,1,11/6/2015 16:00,11/6/2015,16:00:00,16,2.02E+11,6500 BLOCK HAVERFORD AVE,600,Thefts,15,2015-11,-75.251179,39.972084,19151
9,2,3/7/2015 2:09,3/7/2015,2:09:00,2,2.02E+11,1700 BLOCK BENJAMIN FRANKLIN PKWY,2100,Driving Under The Influence,8,2015-03,-75.167886,39.955949,19103
35,1,12/21/2015 13:44,12/21/2015,13:44:00,13,2.02E+11,200 BLOCK W LAVEER ST,600,Thefts,20,2015-12,-75.125058,40.0458,19120
25,3,3/18/2015 18:58,3/18/2015,18:58:00,18,2.02E+11,2700 BLOCK N FRONT ST,1800,Narcotic / Drug Law Violations,18,2015-03,-75.13095,39.990913,19133
39,2,7/24/2015 3:35,7/24/2015,3:35:00,3,2.02E+11,1500 BLOCK W BRISTOL ST,400,Aggravated Assault,21,2015-07,-75.151625,40.018843,19140
35,1,5/17/2015 21:18,5/17/2015,21:18:00,21,2.02E+11,100 BLOCK WIDENER ST,1400,Vandalism/Criminal Mischief,20,2015-05,-75.121774,40.040553,19120
18,1,3/25/2015 20:33,3/25/2015,20:33:00,20,2.02E+11,5700 BLOCK WALNUT ST,600,Thefts,14,2015-03,-75.235519,39.958245,19139
3,2,11/5/2015 7:47,11/5/2015,7:47:00,7,2.02E+11,2400 BLOCK S 03RD ST,500,Burglary,3,2015-11,-75.152351,39.91798,19148
19,1,5/6/2015 12:56,5/6/2015,12:56:00,12,2.02E+11,6400 BLOCK W GIRARD AV,1800,Narcotic / Drug Law Violations,15,2015-05,-75.24885,39.970783,19151
35,2,2/10/2015 1:11,2/10/2015,1:11:00,1,2.02E+11,5501 OLD YORK RD,1800,Narcotic / Drug Law Violations,20,2015-02,-75.144598,40.036929,19141
15,3,1/18/2015 18:51,1/18/2015,18:51:00,18,2.02E+11,6700 BLOCK HEGERMAN ST,1400,Vandalism/Criminal Mischief,11,2015-01,-75.045204,40.023453,19135
25,3,4/30/2015 16:32,4/30/2015,16:32:00,16,2.02E+11,3000 BLOCK N 02ND ST,1800,Narcotic / Drug Law Violations,18,2015-04,-75.133948,39.995991,19133
25,4,4/18/2015 23:07,4/18/2015,23:07:00,23,2.02E+11,900 BLOCK W RUSSELL ST,1400,Vandalism/Criminal Mischief,18,2015-04,-75.144278,40.004156,19140
18,3,8/24/2015 14:02,8/24/2015,14:02:00,14,2.02E+11,4400 BLOCK PINE ST 1F,500,Burglary,14,2015-08,-75.212153,39.951748,19104
3,2,12/23/2015 22:31,12/23/2015,22:31:00,22,2.02E+11,500 BLOCK MERCY ST,700,Recovered Stolen Motor Vehicle,3,2015-12,-75.155021,39.9229,19148
24,2,10/9/2015 11:27,10/9/2015,11:27:00,11,2.02E+11,100 BLOCK E TUSCULUM ST,1800,Narcotic / Drug Law Violations,17,2015-10,-75.129143,39.994441,19134
24,2,4/18/2015 13:48,4/18/2015,13:48:00,13,2.02E+11,3100 BLOCK C ST,500,Burglary,17,2015-04,-75.123603,39.996239,19134
15,2,7/14/2015 18:30,7/14/2015,18:30:00,18,2.02E+11,6700 BLOCK MARSDEN,400,Aggravated Assault,11,2015-07,-75.047522,40.025277,19135
18,3,1/13/2015 21:35,1/13/2015,21:35:00,21,2.02E+11,900 BLOCK S 47TH ST,500,Burglary,14,2015-01,-75.216501,39.948172,19143
6,3,5/26/2015 1:21,5/26/2015,1:21:00,1,2.02E+11,1200 BLOCK LOCUST ST,600,Thefts,5,2015-05,-75.160822,39.947714,19107
22,2,1/18/2015 9:13,1/18/2015,9:13:00,9,2.02E+11,2800 BLOCK W DAUPHIN ST,600,Thefts,16,2015-01,-75.178322,39.990814,19132
22,4,5/28/2015 16:30,5/28/2015,16:30:00,16,2.02E+11,2900 BLOCK CAMBRIDGE ST,600,Thefts,16,2015-05,-75.185056,39.974006,19130
39,3,7/23/2015 14:32,7/23/2015,14:32:00,14,2.02E+11,1600 BLOCK W CLEARFIELD ST,400,Aggravated Assault,21,2015-07,-75.156575,40.0004,19132
25,3,9/27/2015 15:14,9/27/2015,15:14:00,15,2.02E+11,3300 BLOCK N ROSEHILL ST,300,Robbery,18,2015-09,-75.124052,39.999516,19134
3,3,9/30/2015 11:41,9/30/2015,11:41:00,11,2.02E+11,2400 BLOCK S FRANKLIN ST,200,Rape,3,2015-09,-75.160099,39.918604,19148
24,1,12/7/2015 14:37,12/7/2015,14:37:00,14,2.02E+11,1400 BLOCK E BRISTOL ST,300,Robbery,17,2015-12,-75.099348,40.01209,19124
24,2,3/19/2015 22:10,3/19/2015,22:10:00,22,2.02E+11,1800 BLOCK E CAMBRIA ST,1600,Prostitution and Commercialized Vice,17,2015-03,-75.120345,39.992646,19134
24,3,7/26/2015 2:28,7/26/2015,2:28:00,2,2.02E+11,2300 BLOCK E ALLEGHENY AV,1400,Vandalism/Criminal Mischief,17,2015-07,-75.107151,39.989512,19134
15,3,10/7/2015 22:21,10/7/2015,22:21:00,22,2.02E+11,7200 BLOCK MONTAGUE ST,1400,Vandalism/Criminal Mischief,11,2015-10,-75.039914,40.034392,19135
25,4,12/16/2015 11:18,12/16/2015,11:18:00,11,2.02E+11,2900 BLOCK N 12TH ST,500,Burglary,18,2015-12,-75.149969,39.997607,19133
24,3,6/17/2015 5:06,6/17/2015,5:06:00,5,2.02E+11,2600 BLOCK E CLEARFIELD ST,700,Recovered Stolen Motor Vehicle,17,2015-06,-75.105055,39.982951,19134
15,3,11/27/2015 21:01,11/27/2015,21:01:00,21,2.02E+11,4400 BLOCK DECATUR ST,1400,Vandalism/Criminal Mischief,11,2015-11,-75.027706,40.037134,19136
3,3,12/16/2015 22:40,12/16/2015,22:40:00,22,2.02E+11,700 BLOCK CANTRELL ST,2100,Driving Under The Influence,3,2015-12,-75.158346,39.922405,19148
19,2,7/29/2015 12:20,7/29/2015,12:20:00,12,2.02E+11,6200 BLOCK CALLOWHILL ST,300,Robbery,15,2015-07,-75.243469,39.968555,19139
