OBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,USE_,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,CHRONOLOGY,NOTES,DATE_EDITED,EDITED_BY,OCCUPANT,TENANT,LABEL
1036,Kingsessing Recreation Center,Kingsessing Recreation Center,Kingsessing Recreation Center,4901 KINGSESSING AVE,Land,Recreation Center, ,398956.295814,9.158813,19143, , , ,19Dec2012,Vanessa Miller,,,Kingsessing
1037,Lanier Playground,Lanier Playground,Lanier Playground,1600 S 29TH ST,Land,Park- Neighborhood, ,178787.025658,4.104402,19145, , , ,19Dec2012,Vanessa Miller,,,Lanier
1038,Irish Memorial,I-95 Park,I-95 Park,111 S FRONT ST,Land,Park- Linear\Parkway, ,80701.012602,1.852648,19106, ,1976, ,08Aug2014,Nora Dougherty,,,Irish Memorial
1039,Korean War Veteran's Memorial,I-95 Park,I-95 Park,109 SPRUCE ST,Land,Park- Linear\Parkway, ,56973.749752,1.307943,19106, ,1976, ,19Dec2012,Vanessa Miller,,,Korean War Veteran's Memorial
1040,Vietnam Memorial,I-95 Park,I-95 Park,10 SPRUCE ST,Land,Park- Linear\Parkway, ,87083.533421,1.999171,19106, ,1976, ,19Dec2012,Vanessa Miller,,,Vietnam Memorial
1041,Northern Liberties Recreation Center Building,Northern Liberties Recreation Center,Northern Liberties Recreation Center,313-27 FAIRMOUNT AVE,Building,Recreation Bldg,Historic Building,11045.971415,0.253582,19123, , ,,12Nov2013,Vanessa Miller,PPR,,
1042,Northern Liberties Recreation Center,Northern Liberties Recreation Center,Northern Liberties Recreation Center,313-27 FAIRMOUNT AVE,Land,Recreation Center, ,28519.968223,0.654731,19123, , , ,19Dec2012,Vanessa Miller,,,Northern Liberties
1043,Northern Liberties Recreation Center Building,Northern Liberties Recreation Center,Northern Liberties Recreation Center,313-27 FAIRMOUNT AVE,Building,Recreation Bldg,Historic Building,11045.971415,0.253582,19123, , ,,19Dec2012,Vanessa Miller,,,
1044,Vine Street Cover,Logan Square,Benjamin Franklin Parkway,200 N 18TH ST,Land,Park- Square\Plaza, ,89755.444575,2.06051,19103, ,1917-1928, ,19Dec2012,Vanessa Miller,,,
1045,Aviator Park,Benjamin Franklin Parkway,Benjamin Franklin Parkway,200 N 19TH ST,Land,Park- Linear\Parkway, ,81731.457871,1.876304,19103, ,1917-1928, ,19Dec2012,Vanessa Miller,,,Aviator Park
1046,Winter Street,Benjamin Franklin Parkway,Benjamin Franklin Parkway,231-51 N 22ND ST,Land,Park- Linear\Parkway, ,76859.619758,1.764461,19103, ,1917-1928, ,19Dec2012,Vanessa Miller,,,
1047,Sisters City Park,Logan Square,Benjamin Franklin Parkway,200 N 18TH ST,Land,Park- Square\Plaza, ,69041.132444,1.584973,19103, ,1917-1928, ,19Dec2012,Vanessa Miller,,,Sisters City Park
1048,Cret Park,Benjamin Franklin Parkway,Benjamin Franklin Parkway,110 N 16TH ST,Land,Park- Linear\Parkway, ,48455.970966,1.1124,19103, ,1917-1928, ,19Dec2012,Vanessa Miller,,,Cret Park
1049,East Triangle,Benjamin Franklin Parkway,Benjamin Franklin Parkway,200 N 18TH ST,Land,Park- Linear\Parkway, ,8464.5425,0.19432,19103, ,1917-1928, ,19Dec2012,Vanessa Miller,,,
1050,West Triangle,Benjamin Franklin Parkway,Benjamin Franklin Parkway,200 N 19TH ST,Land,Park- Linear\Parkway, ,6491.095916,0.149016,19103, ,1917-1928, ,19Dec2012,Vanessa Miller,,,
1051,Kopernicus Triangle,Benjamin Franklin Parkway,Benjamin Franklin Parkway,1716-34 RACE ST,Land,Park- Linear\Parkway, ,25833.616744,0.593061,19103, ,1917-1928, ,19Dec2012,Vanessa Miller,,,
1052,Binswanger Triangle,Benjamin Franklin Parkway,Benjamin Franklin Parkway,2200 BENJ FRANKLIN PKY,Land,Park- Linear\Parkway, ,10051.938101,0.230762,19130, ,1917-1928, ,19Dec2012,Vanessa Miller,,,
1053,Princeton Avenue Boat Launch,Princeton Avenue Boat Launch,Princeton Avenue Boat Launch,7071R MILNOR ST,Land,Park- Neighborhood,,126263.985514,2.898634,,Tacony Boat launch,2014,,25Aug2014,Nora Dougherty,PPR,,Princeton Avenue Boat Launch
1054,Glen Foerd Boathouse,Glen Foerd,Glen Foerd,5001 Grant Avenue,Building,Boathouse,,1111.321944,0.025513,,,,,08Oct2014,Nora Dougherty,Lessee/Tenants,,
1055,Carpenter's Woods,Wissahickon Valley Park,Carpenter's Woods,7045-99 GREENE ST,Land,Park- Regional/Watershed,,1745177.18082,40.063916,,,1916,,17Oct2014,Nora Dougherty,,,Carpenter's Woods
1056,Hayes Woods,Hayes Playground,Hayes Woods,9850 E ROOSEVELT BLV,Land,Park- Regional/Watershed, ,821741.150546,18.864657,19115,Swenson Park, , ,12Nov2013,Nora Dougherty,PPR,,Hayes 
1057,Hayes Playground,Hayes Playground,Hayes Playground,9850 E ROOSEVELT BLV,Land,Recreation Site, ,876030.72118,20.110979,19115,Swenson Park, , ,12Nov2013,Vanessa Miller,PPR,,Hayes 
1058,Bartram's Mile,Bartram's Mile,Bartram's Mile,3000 S 56TH ST,Land,Park- Neighborhood,,387346.245546,8.892282,19143,,2014,,08Dec2014,Nora Dougherty,PPR,,Bartram's Mile
1059,Gray's Ferry Crescent,Gray's Ferry Crescent,Gray's Ferry Crescent,3401R GRAYS FERRY AVE,Land,Park- Linear\Parkway,,963891.3271,22.127989,19146,,"2010, 2015",dupont parcel added in 2015,02Feb2015,Nora Dougherty,PPR,,Gray's Ferry Crescent
1060,Hope Park,Hope Park,Hope Park,201-19 E INDIANA AVE,Land,Park- Neighborhood,,45162.521538,1.036793,19134,,2015,,05Feb2015,Nora Dougherty,PPR,,Hope Park
1061,Logan Square,Logan Square,Benjamin Franklin Parkway,200 N 18TH ST,Land,Park- Linear\Parkway,,381310.795933,8.753726,19103,,1917-1928,,05Feb2015,Nora Dougherty,,,Logan Square
1062,Titan Park,Titan Park,Titan Park,108-10 Titan Street,Land,Park- Mini,,951.376874,0.021841,19147,,,,26Feb2015,Nora Dougherty,PPR,,Titan Park
1063,Basilica Green,Benjamin Franklin Parkway,Benjamin Franklin Parkway,201-01 N 18th Street,Land,Lot\Breezeway\Island,,12000.638027,0.275498,,,,,24May2016,Nora Dougherty,,,
1064,Ridgeland Mansion,West Fairmount Park,West Fairmount Park,1400 Chamounix,Land,Multi-Use Area,Multi-Use Bldg,180137.456254,4.135404,19131,,,Lease Boundary of Ridgeland Mansion,4April2015,David Hatten,Lessee/Tenants,,Ridgeland
1065,Dodge Tract,Dodge Tract,Dodge Tract,7920 CHEROKEE ,Land,Multi-Use Area,,79663.853701,1.828838,,,2015,,8May2015,David Hatten,PPR,,
1066,Dodge Tract,Dodge Tract,Dodge Tract,7900 CHEROKEE,Land,Multi-Use Area,,269021.546749,6.17591,,,2015,,8May2015,David Hatten,PPR,,
1067,Bartram's South,Bartram's South,Bartram's South,3101 S 56TH ST,Land,Park- Watershed\Conservation,,624714.457398,14.341528,19143,,2015,,24June2015,David Hatten,,The John Bartram Assn.,Bartram's South
1068,Emily Community Garden,Emily Community Garden,Emily Community Garden,732-42 EMILY ST,Land,Gardens,,3961.769344,0.09095,0,Emily,,,24May2016,Nora Dougherty,,,Community Garden
1069,Poquessing Creek Park,Poquessing Creek Park,Poquessing Creek Park,,Land,Park- Watershed\Conservation,Regional\Watershed,8213128.433316,188.548239,0, ,1960-1970, ,12Nov2013,Vanessa Miller,PPR,,Poquessing Creek Park
1070,Fairmount Drainage Right of Way,Fairmount Drainage Right of Way,Fairmount Drainage Right of Way,,Land,Park- Regional/Watershed, ,7679003.581602,176.28637,0, , , ,08Mar2016,Nora Dougherty,,,
1071,Benjamin Franklin Parkway,Benjamin Franklin Parkway,Benjamin Franklin Parkway,BENJ FRANKLIN PKY,Land,Park- Linear\Parkway, ,2778389.226588,63.783295,0, ,1917-1928, ,12Apr2015,Nora Dougherty,PPR,,Benjamin Franklin Parkway
1072,Philly Pumptrack,Philly Pumptrack,West Fairmount Park,5301 PARKSIDE AVE,Land,Recreation Center, ,39951.516455,0.917164,19131, ,1866, ,12Nov2013,Vanessa Miller,PPR,,Pumptrack
1073,Mann Music Center Building,West Fairmount Park,West Fairmount Park,5201 PARKSIDE AVE,Building,Concessions\Retail\Cafe,Performance Venue,6492.696966,0.149052,0,,,,24May2016,Nora Dougherty,,,
1074,Mann Music Center Building,West Fairmount Park,West Fairmount Park,5201 PARKSIDE AVE,Building,Concessions\Retail\Cafe,Performance Venue,2337.136036,0.053653,0,,,,24May2016,Nora Dougherty,,,
1075,Mann Music Center Building,West Fairmount Park,West Fairmount Park,5201 PARKSIDE AVE,Building,Concessions\Retail\Cafe,Performance Venue,300.491612,0.006898,0,,,,24May2016,Nora Dougherty,,,
1076,Spruce Playlot,Spruce Playlot,Spruce Playlot,4801 Spruce Street,Land,Youth & Tot\Play Areas,,151866.754069,3.486395,0,,,,05May2016,Nora Dougherty,,,Spruce Street Play Lot
1077,Yorktown & N Dondill Place,Yorktown Commons,Yorktown Commons,Saratoga and Dondill,Land,Lot\Breezeway\Island,,5156.967037,0.118388,0,,,,24May2016,Nora Dougherty,,,Yorktown Commons
1078,Yorktown & Queens Place,Yorktown Commons,Yorktown Commons,Guilford and Queens,Land,Lot\Breezeway\Island,,5140.963982,0.118021,0,,2016,,24May2016,Nora Dougherty,,,Yorktown Commons
1079,Yorktown & S Dondill Place,Yorktown Commons,Yorktown Commons,Dondill and Betsy Ross,Land,Lot\Breezeway\Island,,4944.731141,0.113516,0,,2016,,24May2016,Nora Dougherty,,,Yorktown Commons
1080,Yorktown & Guilford Place,Yorktown Commons,Yorktown Commons,Guilford and Kings,Land,Lot\Breezeway\Island,,4728.670489,0.108556,0,,2016,,24May2016,Nora Dougherty,,,Yorktown Commons
1081,Yorktown & Patrick Henry,Yorktown Commons,Yorktown Commons,Patrick Henry Place,Land,Lot\Breezeway\Island,,9330.445475,0.214198,0,,2016,,24May2016,Nora Dougherty,,,Yorktown Commons
1082,Yorktown & Kings Place,Yorktown Commons,Yorktown Commons,Lafayette and Kings,Land,Lot\Breezeway\Island,,6750.077175,0.154961,0,,2016,,24May2016,Nora Dougherty,,,Yorktown Commons
1083,Bulldog Park,Reliance Triangle,Bulldog Park,2501 Pennsylvania Avenue,Land,Lot\Breezeway\Island,,7734.313167,0.177556,0,,,,24May2016,Nora Dougherty,,,Bulldog Park
1084,Venice Island Playground Building,Venice Island Playground,Venice Island Playground,1 RECTOR ST,Building,Recreation Bldg,,,,19127,,,,08Aug2016,Nora Dougherty,PPR,,
1,Markward Playground,Schuylkill River Park,Schuylkill River Park,400-16 S TANEY ST,Land,Recreation Site,,153685.294717,3.528143,19103,,1966,,06Jun2014,Nora Dougherty,PPR,,Markward 
2,Schuylkill Banks,Schuylkill Banks,Schuylkill Banks,400-16 S TANEY ST,Land,Park- Linear\Parkway,,658060.846969,15.107059,19103,,,,11Feb2015,Nora Dougherty,PPR,,Schuylkill Banks
3,Schuylkill River Park,Schuylkill River Park,Schuylkill River Park,400-16 S TANEY ST,Land,Recreation Site,,327015.245238,7.507267,19103,,1966,,16Dec2013,Vanessa Miller,PPR,,Schuylkill River Park
4,Peter's Island,Peter's Island,Peter's Island,,Land,Park- Regional/Watershed,Regional\Watershed,83679.293051,1.92102,,,,,22Aug2014,Nora Dougherty,PPR,,Peter's Island
5,Frankford Arsenal Boat Launch,Frankford Arsenal Boat Launch,Frankford Arsenal Boat Launch,5625 Tacony Street,Land,Park- Neighborhood,,477860.288478,10.970207,,PA Fish and Boat,2014,,22Aug2014,Nora Dougherty,PPR,,Frankford Arsenal Boat Launch
6,Orthodox Street Parcel,Orthodox Street Parcel,Orthodox Street Parcel,3101 Orthodox Street,Land,Park- Neighborhood,,457597.048806,10.505025,,,2014,,22Aug2014,Nora Dougherty,,,Orthodox
7,Wissahickon Valley Park,Wissahickon Valley Park,Wissahickon Valley Park, ,Land,Park- Regional/Watershed, ,88949112.84139,2043.819721,19128, ,1867, ,12Nov2013,Vanessa Miller,PPR,,Wissahickon Valley Park
8,West Fairmount Park,West Fairmount Park,West Fairmount Park, ,Land,Park- Regional/Watershed, ,61124064.21571,1403.221045,19131, ,1866, ,12Nov2013,Vanessa Miller,PPR,,West Fairmount Park
9,Pennypack Creek Park,Pennypack Creek Park,Pennypack Creek Park, ,Land,Park- Regional/Watershed, ,58572936.139323,1344.654969,19152, ,1905-1929, ,12Nov2013,Vanessa Miller,PPR,,Pennypack Creek Park
10,Cobbs Creek Park,Cobbs Creek Park,Cobbs Creek Park, ,Land,Park- Regional/Watershed, ,37055823.234334,850.68805,19143, ,1904-1928, ,12Nov2013,Vanessa Miller,PPR,,Cobbs Creek Park
11,East Fairmount Park,East Fairmount Park,East Fairmount Park, ,Land,Park- Regional/Watershed, ,28326588.461252,650.291592,19121, ,1844, ,12Nov2013,Vanessa Miller,PPR,,East Fairmount Park
12,Tacony Creek Park,Tacony Creek Park,Tacony Creek Park, ,Land,Park- Regional/Watershed, ,13223017.770586,303.559933,19120, ,1915, ,12Nov2013,Vanessa Miller,PPR,,Tacony Creek Park
13,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,3500 S BROAD ST,Land,Park- Metropolitan, ,8746429.902579,200.791205,19145, ,1922-1924, ,12Nov2013,Vanessa Miller,PPR,,FDR Park
14,Hunting Park,Hunting Park,Hunting Park,1101 W HUNTING PARK AVE,Land,Park- Community, ,3246603.332431,74.532055,19140, ,1854, ,12Nov2013,Vanessa Miller,PPR,,Hunting Park
15,Awbury Park,Awbury Park,Awbury Park,6101 ARDLEIGH ST,Land,Park- Community, ,1226461.759114,28.1558,19138,,1920, ,12Nov2013,Vanessa Miller,PPR,,Awbury
16,Fisher Park,Fisher Park,Fisher Park,6000 N 05TH ST,Land,Park- Community, ,1067144.688965,24.498369,19120, ,1909, ,12Nov2013,Vanessa Miller,PPR,,Fisher Park
17,Eastwick Regional Park,Eastwick Regional Park,Eastwick Regional Park,80TH ST & MARS PL,Land,Park- Community, ,1017678.549501,23.362778,19153, , , ,12Nov2013,Vanessa Miller,PPR,,Eastwick Regional Park
18,Whitby Ave Playground,Whitby Ave Playground,Cobbs Creek Park,1300 COBBS CREEK PKY,Land,Recreation Site, ,203504.69277,4.671844,19143, , , ,12Nov2013,Vanessa Miller,PPR,,Whitby Ave 
19,Holme Street Field,Holme Street Field,Pennypack Creek Park,2761 HOLME AVE,Land,Athletic,Multi-Use Sports Field,75854.657208,1.74139,19152, , , ,12Nov2013,Vanessa Miller,PPR,,Holme Street Field
20,29th & Passyunk Playground,29th & Passyunk Playground,29th & Passyunk Playground,2827 W PASSYUNK AVE,Land,Recreation Site, ,23125.660377,0.530894,19145, , , ,12Nov2013,Vanessa Miller,PPR,,29th & Passyunk 
21,Price Street Play Lot,Price Street Play Lot,Price Street Play Lot,177-85 W PRICE ST,Land,Youth & Tot\Play Areas, ,7358.889835,0.168938,19144, , , ,12Nov2013,Vanessa Miller,PPR,,Price Street Play Lot
22,Sedgley Woods Disc Golf,Sedgley Woods Disc Golf,East Fairmount Park,3400 RESERVOIR DR,Land,Athletic,Disc Golf,430994.527981,9.894312,19121, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,PR,Sedgley Woods Disc Golf
23,61st & Baltimore Ave Playground,61st & Baltimore Ave Playground,Cobbs Creek Park,6100 BALTIMORE AVE,Land,Recreation Site, ,48928.173074,1.123241,19143, , , ,12Nov2013,Vanessa Miller,PPR,,61st & Baltimore Ave 
24,Cobbs Creek Environmental Education Center,Cobbs Creek Park,Cobbs Creek Park,700 COBBS CREEK PKY,Land,Environmental Education Center, ,300849.165525,6.906574,19143, , , ,12Nov2013,Vanessa Miller,PPR,,Cobbs Creek Park
25,Al Pearlman Sports Center,Al Pearlman Sports Center,Al Pearlman Sports Center,600 PORT ROYAL AVE,Land,Athletic,Multi-Use Sports Field,291234.000243,6.685839,19128, , ,It is a leased property that is owned by PWD,12Nov2013,Vanessa Miller,PPR,,Al Pearlman Sports Center
26,Lauretha Vaird Boys/Girls Club,Lauretha Vaird Boys/Girls Club,Tacony Creek Park,4800 WHITAKER AVE,Land,Other, ,256086.329486,5.878957,19120, , , ,26Jun2014,Nora Dougherty,Lessee/Tenants,Boys & Girls Club of Philadelphia,Boys & Girls Club of Philadelphia
27,Torresdale & Enfield Fields,Torresdale & Enfield Fields,Pennypack Creek Park,4600 ENFIELD AVE,Land,Recreation Site,Regional\Watershed,246000.688929,5.647421,19136, , , ,12Nov2013,Vanessa Miller,PPR,,Torresdale & Enfield Fields
28,Chamounix Tennis,Chamounix Tennis,West Fairmount Park,3601 CHAMOUNIX DR,Land,Athletic,Tennis Courts,202349.877925,4.645333,19131, , , ,12Nov2013,Vanessa Miller,PPR,,
29,Smith Memorial Playground,Smith Memorial Playground,East Fairmount Park,3500 RESERVOIR DR,Land,Recreation Site, ,201277.020088,4.620703,19121, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,"Smith Memorial Trust, Wells Fargo Trustee",Smith Memorial Playground
30,Laura Sims Rink,Laura Sims Rink,Cobbs Creek Park,200 S 63RD ST,Land,Ice Rink, ,178181.280482,4.090496,19139, ,1904-1928, ,12Nov2013,Vanessa Miller,PPR,,Laura Sims Rink
31,Garland & Bingham Fields,Garland & Bingham Fields,Tacony Creek Park,5153 E TABOR RD,Land,Athletic,Multi-Use Sports Field,171228.208319,3.930874,19120, , , ,12Nov2013,Vanessa Miller,PPR,,Garland & Bingham Fields
32,R. Ashburn Field,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,3500 S BROAD ST,Land,Athletic,Baseball Field,160275.461014,3.679433,19145, , , ,12Nov2013,Vanessa Miller,PPR,,Ashburn Field
33,Hammond & Nedro Fields,Hammond & Nedro Fields,Tacony Creek Park,5901 HAMMOND AVE,Land,Athletic,Baseball Field,143784.703281,3.300856,19120, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,Olney Midget & Teen League,Hammond & Nedro
34,Bocce Court,Cobbs Creek Park,Cobbs Creek Park,6600 VINE ST,Land,Athletic,Bocce Courts,100070.059672,2.297302,19151, , , ,12Nov2013,Vanessa Miller,PPR,,Bocce Court
35,Fox Chase School Playground,Fox Chase School Playground,Fox Chase School Playground,700 Rhawn Street,Land,Recreation Site, ,91814.093488,2.10777,19111, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,FPHPT Lease,Fox Chase
36,Wissahickon Environmental Education Center,Wissahickon Environmental Education Center,Wissahickon Valley Park,300 W NORTHWESTERN AVE,Land,Environmental Education Center, ,75383.193277,1.730567,19128,Tree House, , ,12Nov2013,Vanessa Miller,PPR,,Wissahickon Environmental Education Center
37,Ford Road North Playground,Ford Road North Playground,West Fairmount Park,3905 FORD RD,Land,Recreation Site, ,59510.130619,1.36617,19131, , , ,12Nov2013,Vanessa Miller,PPR,,Ford Road Playground
38,82nd & Lyons Park,82nd & Lyons Park,82nd & Lyons Park,8200 LYONS AVE,Land,Park- Mini, ,39709.940101,0.911618,19153,Pepper School Playground, , ,12Nov2013,Vanessa Miller,PPR,,82nd & Lyons Park
39,Verree & Susquehanna Playground,Verree & Susquehanna Playground,Pennypack Creek Park,8543 VERREE RD,Land,Recreation Site, ,36456.260098,0.836924,19111, , , ,12Nov2013,Vanessa Miller,PPR,,Verree & Susquehanna 
